site,id,elev_mean
lassen,28052914,1419.9524408427544
lassen,28050312,1658.1510245992645
lassen,28073016,1392.8500152279632
lassen,29053210,1713.408911682129
lassen,28051801,1685.8315157430627
lassen,28062612,1467.6289994772035
lassen,28042310,1712.271753156962
lassen,29072715,1715.0191325930919
lassen,28050211,1663.1237939989967
lassen,29071809,1580.6394703099634
lassen,29072714,1672.110962312551
lassen,28063215,1613.1683700462884
lassen,28051112,1678.073755416521
lassen,29053509,1757.183338607595
lassen,28050716,1688.3651890110325
lassen,28051101,1627.8166720906243
lassen,28052004,1647.352978743906
lassen,28062404,1440.4184061832145
lassen,28052504,1496.6600768491999
lassen,29063207,1692.61595273609
lassen,28063206,1512.3130200820708
lassen,28053110,1381.3474252319336
lassen,28051502,1627.3160972349592
lassen,28062211,1534.911526474656
lassen,28052014,1401.8018205309547
lassen,28051803,1764.7043206402261
lassen,28062110,1508.8042891810894
lassen,29063014,1796.4277729011671
lassen,28052203,1450.5829814254616
lassen,28041605,1652.4761432327387
lassen,28041612,1517.0971826241662
lassen,28041012,1726.4202417539282
lassen,29052613,1798.4507150325014
lassen,28040305,1394.5106741007091
lassen,28050902,1516.7689569181691
lassen,28040903,1487.3791043699396
lassen,28060616,1763.465007407393
lassen,28040306,1412.4613751015968
lassen,28051706,1639.3549313678423
lassen,29052605,1779.4030040475257
lassen,28041610,1741.2916831842388
lassen,28040234,1494.0554026545617
lassen,28041116,1591.8796974980246
lassen,28041109,1617.6907129610036
lassen,28051710,1599.0218367474934
lassen,28052709,1472.572779721724
lassen,28062408,1380.996242940512
lassen,29053116,1549.247435191321
lassen,28041508,1725.2553480040353
lassen,28071911,1375.2123960441136
lassen,28052801,1462.0919056700889
lassen,28061802,1652.3912984872404
lassen,28053305,1576.6600666509964
lassen,28043616,1487.9890371540093
lassen,29053312,1688.1593000280711
lassen,29072608,1692.4376258121663
lassen,28042415,1643.1348116456854
lassen,28050910,1522.0861672429064
lassen,28050905,1543.0164750689048
lassen,29053332,1618.8856264495457
lassen,29063211,1817.1617741361576
lassen,28050212,1686.9646474933097
lassen,29052709,1786.9328029624985
lassen,28053313,1657.6783659747116
lassen,28052711,1540.4532171251271
lassen,29062911,1608.931466153188
lassen,29052601,1658.2033579089739
lassen,28073011,1416.275756072631
lassen,28073009,1379.3899864223333
lassen,28041309,1691.8908185774906
lassen,28061415,1540.3504350131338
lassen,29052707,1768.0560673702862
