FORTYPCD,MEANING,TYPGRPCD
100,White / red / jack pine group,100
101,Jack pine,100
102,Red pine,100
103,Eastern white pine,100
104,Eastern white pine / eastern hemlock,100
105,Eastern hemlock,100
120,Spruce / fir group,120
121,Balsam fir,120
122,White spruce,120
123,Red spruce,120
124,Red spruce / balsam fir,120
125,Black spruce,120
126,Tamarack,120
127,Northern white-cedar,120
128,Fraser fir,120
129,Red spruce / Fraser fir,120
140,Longleaf / slash pine group,140
141,Longleaf pine,140
142,Slash pine,140
150,Tropical softwoods group,150
151,Tropical pines,150
160,Loblolly / shortleaf pine group,160
161,Loblolly pine,160
162,Shortleaf pine,160
163,Virginia pine,160
164,Sand pine,160
165,Table Mountain pine,160
166,Pond pine,160
167,Pitch pine,160
168,Spruce pine,160
170,Other eastern softwoods group,170
171,Eastern redcedar,170
172,Florida softwoods,170
180,Pinyon / juniper group,180
181,retired (Eastern redcedar),180
182,Rocky Mountain juniper,180
183,retired (Western juniper),180
184,Juniper woodland,180
185,Pinyon / juniper woodland,180
200,Douglas-fir group,200
201,Douglas-fir,200
202,Port-Orford-cedar,200
203,Bigcone Douglas-fir,200
220,Ponderosa pine group,220
221,Ponderosa pine,220
222,Incense-cedar,220
223,retired (Jeffrey pine / Coulter pine / bigcone Douglas-fir),220
224,Sugar pine,220
225,Jeffrey pine,220
226,Coulter pine,220
240,Western white pine group,240
241,Western white pine,240
260,Fir / spruce / mountain hemlock group,260
261,White fir,260
262,Red fir,260
263,Noble fir,260
264,Pacific silver fir,260
265,Engelmann spruce,260
266,Engelmann spruce / subalpine fir,260
267,Grand fir,260
268,Subalpine fir,260
269,Blue spruce,260
270,Mountain hemlock,260
271,Alaska-yellow-cedar,260
280,Lodgepole pine group,280
281,Lodgepole pine,280
300,Hemlock / Sitka spruce group,300
301,Western hemlock,300
304,Western redcedar,300
305,Sitka spruce,300
320,Western larch group,320
321,Western larch,320
340,Redwood group,340
341,Redwood,340
342,Giant sequoia,340
360,Other western softwoods group,360
361,Knobcone pine,360
362,Southwestern white pine,360
363,Bishop pine,360
364,Monterey pine,360
365,Foxtail pine / bristlecone pine,360
366,Limber pine,360
367,Whitebark pine,360
368,Miscellaneous western softwoods,360
369,Western juniper,360
370,California mixed conifer group,370
371,California mixed conifer,370
380,Exotic softwoods group,380
381,Scotch pine,380
382,retired (Australian pine),380
383,Other exotic softwoods,380
384,Norway spruce,380
385,Introduced larch,380
390,Other softwoods group,390
391,Other softwoods,390
400,Oak / pine group,400
401,Eastern white pine / northern red oak / white ash,400
402,Eastern redcedar / hardwood,400
403,Longleaf pine / oak,400
404,Shortleaf pine / oak,400
405,Virginia pine / southern red oak,400
406,Loblolly pine / hardwood,400
407,Slash pine / hardwood,400
409,Other pine / hardwood,400
500,Oak / hickory group,500
501,Post oak / blackjack oak,500
502,Chestnut oak,500
503,White oak / red oak / hickory,500
504,White oak,500
505,Northern red oak,500
506,Yellow-poplar / white oak / northern red oak,500
507,Sassafras / persimmon,500
508,Sweetgum / yellow-poplar,500
509,Bur oak,500
510,Scarlet oak,500
511,Yellow-poplar,500
512,Black walnut,500
513,Black locust,500
514,Southern scrub oak,500
515,Chestnut oak / black oak / scarlet oak,500
516,Cherry / white ash / yellow-poplar,500
517,Elm / ash / black locust,500
519,Red maple / oak,500
520,Mixed upland hardwoods,500
600,Oak / gum / cypress group,600
601,Swamp chestnut oak / cherrybark oak,600
602,Sweetgum / Nuttall oak / willow oak,600
605,Overcup oak / water hickory,600
606,Atlantic white-cedar,600
607,Baldcypress / water tupelo,600
608,Sweetbay / swamp tupelo / red maple,600
609,Baldcypress / pondcypress,600
700,Elm / ash / cottonwood group,700
701,Black ash / American elm / red maple,700
702,River birch / sycamore,700
703,Cottonwood,700
704,Willow,700
705,Sycamore / pecan / American elm,700
706,Sugarberry / hackberry / elm / green ash,700
707,Silver maple / American elm,700
708,Red maple / lowland,700
709,Cottonwood / willow,700
722,Oregon ash,700
800,Maple / beech / birch group,800
801,Sugar maple / beech / yellow birch,800
802,Black cherry,800
803,retired (Cherry / ash / yellow-poplar),800
805,Hard maple / basswood,800
807,retired (Elm / ash / locust),800
809,Red maple / upland,800
900,Aspen / birch group,900
901,Aspen,900
902,Paper birch,900
903,Gray birch,900
904,Balsam poplar,900
905,Pin cherry,900
910,Alder / maple group,910
911,Red alder,910
912,Bigleaf maple,910
920,Western oak group,920
921,Gray pine,920
922,California black oak,920
923,Oregon white oak,920
924,Blue oak,920
925,retired (Deciduous oak woodland),920
926,retired (Evergreen oak woodland),920
931,Coast live oak,920
932,retired (Canyon live oak / interior live oak),920
933,Canyon live oak,920
934,Interior live oak,920
935,California white oak (valley oak),920
940,Tanoak / laurel group,940
941,Tanoak,940
942,California laurel,940
943,Giant chinkapin,940
950,retired (Other western hardwoods group),950
951,retired (Pacific madrone),950
952,retired (Mesquite woodland),950
953,retired (Mountain brush woodland),950
954,retired (Intermountain maple woodland),950
955,retired (Miscellaneous western hardwoods woodland),950
960,Other hardwoods group,960
961,Pacific madrone,960
962,Other hardwoods,960
970,Woodland hardwoods group,970
971,Deciduous oak woodland,970
972,Evergreen oak woodland,970
973,Mesquite woodland,970
974,Cercocarpus (mountain brush) woodland,970
975,Intermountain maple woodland,970
976,Miscellaneous woodland hardwoods,970
980,Tropical hardwoods group,980
981,retired (Sable palm),980
982,Mangrove,980
983,Palms,980
984,Dry forest,980
985,Moist forest,980
986,Wet and rain forest,980
987,Lower montane wet and rain forest,980
989,Other tropical hardwoods,980
990,Exotic hardwoods group,990
991,Paulownia,990
992,Melaleuca,990
993,Eucalyptus,990
995,Other exotic hardwoods,990
999,Nonstocked,999
988,Cloud forest,980
